scorer,,,Aidan,Aidan,Aidan,Aidan,Aidan,Aidan,Aidan,Aidan
bodyparts,,,nose,nose,frontleg,frontleg,backleg,backleg,tailtip,tailtip
coords,,,x,y,x,y,x,y,x,y
labeled-data,IMG_5374,img004.png,684.2961739308616,879.2192187523484,677.7150727678567,867.1099926124191,679.5577810934981,857.896450984212,695.3524238847102,853.947790286409
labeled-data,IMG_5374,img011.png,756.5173228096545,872.6215036898255,760.5650223181226,864.975849062719,745.9483296486544,857.5550666305276,756.5173228096545,843.388118350889
labeled-data,IMG_5374,img022.png,821.3846306639588,923.3847017531144,815.6787641359392,911.9729686970753,807.3394207488336,899.2444972114931,782.7603033973647,906.2671021690558
labeled-data,IMG_5374,img031.png,703.2567343035842,963.7539750686151,689.9822981033135,949.8158170583308,675.7122791880224,958.4442005885068,635.8889705872105,969.0637495487233
labeled-data,IMG_5374,img039.png,573.369738559941,918.6019944663249,560.9301741864806,912.1117869671282,543.8933795010892,905.892004780398,518.4734001292352,933.2049613395176
labeled-data,IMG_5374,img045.png,510.0554781163884,903.3713481431096,494.64000381929986,896.5200262332925,481.6224921906473,896.5200262332925,449.7638453099977,911.5929344348901
labeled-data,IMG_5374,img071.png,483.0289717303016,912.2454704326065,464.00455099828116,909.0747336439364,444.52716786787926,909.5276960423178,376.5828081106635,914.5102824245137
labeled-data,IMG_5374,img090.png,458.9470253370115,1070.3937300758703,458.411765812807,1059.1532800675766,468.58169677269177,1053.2654253013275,484.6394824988257,1063.9706157854168
labeled-data,IMG_5374,img144.png,383.96037755311124,947.1127564610982,374.29359054597865,942.5095245529399,368.3093890653728,936.0649998815181,339.309028043975,960.9224521855733
labeled-data,IMG_5374,img161.png,533.8563281196641,862.654156136876,511.07568276952213,862.654156136876,489.49401875359814,863.853137471094,453.5245787270582,869.848044142184
labeled-data,IMG_5374,img172.png,570.9874151286087,957.7001898498627,551.7823034001526,958.6850673743988,530.607436622624,947.8514146045005,492.1972131657118,970.5035976688334
labeled-data,IMG_5374,img177.png,579.8058157898772,988.8951149204988,559.7871095846303,988.8951149204988,535.646905043009,985.9511875373743,486.7777104831415,1005.3811082659963
labeled-data,IMG_5374,img189.png,615.021075146813,1057.5475014949632,594.4135834649412,1052.248432205339,577.3388046428189,1055.1923595884637,513.7499731673286,1068.7344255508365
labeled-data,IMG_5374,img192.png,638.4036198319229,1048.8388290361565,615.7942575295265,1040.617242744376,592.4997630361481,1048.1536968451749,528.0973370838672,1065.9671338106996
labeled-data,IMG_5374,img219.png,712.919506864285,1073.2627211256063,697.6539052339738,1048.7050141551053,659.8217620632022,1015.5189236544287,602.7416864020382,1032.7756907147805
labeled-data,IMG_5374,img295.png,407.66554991643545,921.4791778469464,407.66554991643545,907.3483264079487,380.81693218233954,917.2399224152471,339.8374630092459,976.589498459038
labeled-data,IMG_5374,img335.png,554.1664831358402,925.5096820642062,531.953212881355,906.8505350504386,485.74961075202566,894.4111037079269,350.6929276047555,946.834421508512
labeled-data,IMG_5374,img338.png,464.99933859207243,942.6754550054432,449.9050200095066,909.4679541237983,395.56547311226944,875.2541653366491,309.02471323889176,942.6754550054432
labeled-data,IMG_5374,img356.png,567.3853861604748,962.2820113770529,570.9180990202244,929.7810530673579,524.9928318434813,894.4539244698633,445.86006378509336,938.2595639307566
labeled-data,IMG_5374,img360.png,618.6763624376053,954.1728295853547,618.6763624376053,928.6944762332223,574.0892440713735,887.7471226315809,485.82494853005744,918.6851231305989
